Temp_Up1_0.0-60.0C,A260nm_Up1_0.0-60.0C,Temp_Down1_60.0-0.0C,A260nm_Down1_60.0-0.0C,Temp_Up2_0.0-60.0C,A260nm_Up2_0.0-60.0C,Temp_Down2_60.0-0.0C,A260nm_Down2_60.0-0.0C
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
0,0.170808474,60,0.208855675,0.200000003,0.167963733,59.79999924,0.210148104
0.100000001,0.170866812,59.90000153,0.208945626,0.300000012,0.167963363,59.70000076,0.210143349
0.200000003,0.170889265,59.79999924,0.208977326,0.400000006,0.168011066,59.59999847,0.210161263
0.300000012,0.170908187,59.70000076,0.209001277,0.5,0.168070977,59.5,0.21018372
0.400000006,0.170892453,59.59999847,0.20906408,0.600000024,0.168043869,59.40000153,0.210168788
0.5,0.170869667,59.5,0.208967688,0.699999988,0.16803581,59.29999924,0.210107551
0.600000024,0.170881032,59.40000153,0.20891662,0.800000012,0.168070452,59.20000076,0.210085716
0.699999988,0.170884481,59.29999924,0.209055513,0.899999976,0.16809333,59.09999847,0.21015292
0.800000012,0.170867374,59.20000076,0.208884213,1,0.168085069,59,0.210170704
0.899999976,0.170858884,59.09999847,0.20903815,1.100000024,0.16803384,58.90000153,0.210121313
1,0.170831717,59,0.209114515,1.200000048,0.16808382,58.79999924,0.21012074
1.100000024,0.170866937,58.90000153,0.209064027,1.299999952,0.168129822,58.70000076,0.210113119
1.200000048,0.170859221,58.79999924,0.2090127,1.399999976,0.168058719,58.59999847,0.210127809
1.299999952,0.170825782,58.70000076,0.209046196,1.5,0.168084152,58.5,0.210066245
1.399999976,0.170881039,58.59999847,0.20897464,1.600000024,0.168081472,58.40000153,0.210083642
1.5,0.17089852,58.5,0.209090151,1.700000048,0.168105141,58.29999924,0.210042096
1.600000024,0.170890373,58.40000153,0.209025519,1.799999952,0.168130483,58.20000076,0.210072197
1.700000048,0.170882835,58.29999924,0.208926861,1.899999976,0.168144593,58.09999847,0.210009444
1.799999952,0.170901045,58.20000076,0.208993441,2,0.168139543,58,0.210066818
1.899999976,0.170861548,58.09999847,0.20904529,2.099999905,0.168123497,57.90000153,0.210076809
2,0.170902585,58,0.209021671,2.200000048,0.168132316,57.79999924,0.209933786
2.099999905,0.170911949,57.90000153,0.208993751,2.299999952,0.168169427,57.70000076,0.210012883
2.200000048,0.170900104,57.79999924,0.208957255,2.400000095,0.168215787,57.59999847,0.210030039
2.299999952,0.170902071,57.70000076,0.208917123,2.5,0.168201402,57.5,0.209992236
2.400000095,0.170929551,57.59999847,0.208868452,2.599999905,0.168187318,57.40000153,0.210009105
2.5,0.170987895,57.5,0.208845364,2.700000048,0.168208015,57.29999924,0.210000597
2.599999905,0.170914589,57.40000153,0.208901543,2.799999952,0.168290442,57.20000076,0.209980415
2.700000048,0.170927776,57.29999924,0.208929435,2.900000095,0.168317101,57.09999847,0.209871556
2.799999952,0.170939347,57.20000076,0.208751418,3,0.168303693,57,0.209872439
2.900000095,0.170947059,57.09999847,0.208723714,3.099999905,0.16828966,56.90000153,0.209877138
3,0.170969265,57,0.208899765,3.200000048,0.16832029,56.79999924,0.209887576
3.099999905,0.170988969,56.90000153,0.208934581,3.299999952,0.168304157,56.70000076,0.209856279
3.200000048,0.170973727,56.79999924,0.208913289,3.400000095,0.168279612,56.59999847,0.209842073
3.299999952,0.170942819,56.70000076,0.208849981,3.5,0.168284104,56.5,0.209805032
3.400000095,0.170975537,56.59999847,0.208913225,3.599999905,0.168307258,56.40000153,0.209809188
3.5,0.170984502,56.5,0.208763616,3.700000048,0.168322126,56.29999924,0.209808586
3.599999905,0.170965368,56.40000153,0.208738728,3.799999952,0.168366446,56.20000076,0.20981121
3.700000048,0.170994153,56.29999924,0.208748896,3.900000095,0.168407583,56.09999847,0.209783663
3.799999952,0.170993677,56.20000076,0.208674747,4,0.168392555,56,0.20972526
3.900000095,0.171021024,56.09999847,0.208716423,4.099999905,0.168411634,55.90000153,0.209742068
4,0.171037946,56,0.2086551,4.199999809,0.168452317,55.79999924,0.209756634
4.099999905,0.171006397,55.90000153,0.20873742,4.300000191,0.168481276,55.70000076,0.209722988
4.199999809,0.171030743,55.79999924,0.208684163,4.400000095,0.168475091,55.59999847,0.209685569
4.300000191,0.17104853,55.70000076,0.208652921,4.5,0.168522883,55.5,0.209656113
4.400000095,0.17103554,55.59999847,0.208678248,4.599999905,0.16853653,55.40000153,0.209630241
4.5,0.171035019,55.5,0.208608382,4.699999809,0.168509253,55.29999924,0.209604073
4.599999905,0.171054443,55.40000153,0.208594301,4.800000191,0.168536385,55.20000076,0.209570868
4.699999809,0.171056556,55.29999924,0.208560337,4.900000095,0.168557841,55.09999847,0.209601412
4.800000191,0.171093161,55.20000076,0.208518794,5,0.168605143,55,0.2095961
4.900000095,0.171117676,55.09999847,0.208515696,5.099999905,0.168624645,54.90000153,0.209540444
5,0.171105941,55,0.208540675,5.199999809,0.168572844,54.79999924,0.209500486
5.099999905,0.171114966,54.90000153,0.208573278,5.300000191,0.168586215,54.70000076,0.209494754
